date,closing_price,volume
2025-01-01,,5000.0
2025-01-02,131.04,2000.0
2025-01-03,138.26,2000.0
2025-01-04,164.68,
2025-01-05,165.06,5000.0
2025-01-06,137.99,1500.0
2025-01-07,151.0,5000.0
2025-01-08,,1500.0
2025-01-09,190.09,1500.0
2025-01-10,135.16,1000.0
2025-01-11,146.99,5000.0
2025-01-12,120.55,2000.0
2025-01-13,168.97,
2025-01-14,149.75,1500.0
2025-01-15,,1000.0
2025-01-16,180.33,5000.0
2025-01-17,162.83,1000.0
2025-01-18,147.76,1500.0
2025-01-19,164.34,5000.0
2025-01-20,122.91,
2025-01-21,101.11,2000.0
2025-01-22,,
2025-01-23,156.71,1000.0
2025-01-24,191.67,1000.0
2025-01-25,167.01,2000.0
2025-01-26,193.82,1500.0
2025-01-27,116.65,2000.0
2025-01-28,145.41,2000.0
2025-01-29,,2000.0
2025-01-30,123.02,1500.0
