timestamp,sensor_id,temperature,humidity
2025-02-01 00:00:00,S2,24.0,40.0
2025-02-01 01:00:00,S3,30.0,
2025-02-01 02:00:00,S1,24.0,50.0
2025-02-01 03:00:00,S2,24.0,
2025-02-01 04:00:00,S3,23.0,42.0
2025-02-01 05:00:00,S3,,40.0
2025-02-01 06:00:00,S2,24.0,45.0
2025-02-01 07:00:00,S3,,45.0
2025-02-01 08:00:00,S1,24.0,
2025-02-01 09:00:00,S2,22.0,
2025-02-01 10:00:00,S1,,50.0
2025-02-01 11:00:00,S2,23.0,
2025-02-01 12:00:00,S3,23.0,42.0
2025-02-01 13:00:00,S1,22.0,45.0
2025-02-01 14:00:00,S1,24.0,42.0
2025-02-01 15:00:00,S1,23.0,50.0
2025-02-01 16:00:00,S2,30.0,50.0
2025-02-01 17:00:00,S2,22.0,50.0
2025-02-01 18:00:00,S3,,50.0
2025-02-01 19:00:00,S2,30.0,42.0
2025-02-01 20:00:00,S3,22.0,45.0
2025-02-01 21:00:00,S1,22.0,40.0
2025-02-01 22:00:00,S2,22.0,45.0
2025-02-01 23:00:00,S3,,42.0
2025-02-02 00:00:00,S3,22.0,40.0
2025-02-02 01:00:00,S1,22.0,50.0
2025-02-02 02:00:00,S3,22.0,45.0
2025-02-02 03:00:00,S3,,40.0
2025-02-02 04:00:00,S2,24.0,50.0
2025-02-02 05:00:00,S1,,
2025-02-02 06:00:00,S1,22.0,40.0
2025-02-02 07:00:00,S2,30.0,
2025-02-02 08:00:00,S3,23.0,40.0
2025-02-02 09:00:00,S3,24.0,42.0
2025-02-02 10:00:00,S1,23.0,40.0
2025-02-02 11:00:00,S2,30.0,40.0
2025-02-02 12:00:00,S3,23.0,
2025-02-02 13:00:00,S1,23.0,
2025-02-02 14:00:00,S3,,42.0
2025-02-02 15:00:00,S2,30.0,50.0
2025-02-02 16:00:00,S1,23.0,50.0
2025-02-02 17:00:00,S1,,40.0
2025-02-02 18:00:00,S1,22.0,45.0
2025-02-02 19:00:00,S2,23.0,
2025-02-02 20:00:00,S2,22.0,
2025-02-02 21:00:00,S3,30.0,42.0
2025-02-02 22:00:00,S1,23.0,40.0
2025-02-02 23:00:00,S1,30.0,40.0
2025-02-03 00:00:00,S3,22.0,50.0
2025-02-03 01:00:00,S2,24.0,40.0
